job_id|freelancer_id|job_title|job_description|hourly_rate|weekly_hours_needed|project_length|experience_level|skills_required|earnings|feedback_for_freelancer|client_location|feedback_for_client|profile_link
61|1272|UK Company final tax return and strike off|1. I would like the final accounts to be submitted for the dormant company. 2. I would like this company closed (Struck off)||Less than 30 hrs/week|Less than a month|Intermediate|Bookkeeping,Tax Preparation,Intuit QuickBooks,Xero,Sage 50cloud,Microsoft Excel,Management Accounting,Data Entry,Bank Reconciliation,Wave Accounting,Cost Analysis||5.0|United Kingdom Surbiton|5.00|https://www.upwork.com/jobs/~018d6dbc883c681e2d
0|107|Xero Assistance / Reconciling|"Looking for a U.S. based bookkeeper / virtual admin to help with the following: - Periodic reconciling of Bank Accounts on Xero - Check-in Call via Zoom every few weeks - Initial Account Research & Fixes -- Reconciling payments from Stripe & Square with Calendar appointment data to gather Customer Name -- Fixing transactions under ""Sales"" account to map to ""Phone Consult"" account  The business is for a natural healer and author.  Looking for someone with great communication skills, experience with Xero, detail oriented."|$38.00|Less than 30 hrs/week|More than 6 months|Intermediate|/Bookkeeping Skills,Accounting Software,Accounting Basics,Data Entry/Bookkeeping Deliverables,Accounts Payable,Accounts Receivable,Bank Reconciliation/Other,Xero|$1,779.65||United States Oceanside|4.00|https://www.upwork.com/jobs/~01832e3be086d91dad
0|107|Bookkeeper for Xero for EdTech company|We're looking for a bookkeeper to help us reconcile accounts on Xero.  We (the founders) do all of the bookkeeping ourselves but as the business has grown, this is taking up more and more of our time. We'd like to find someone we trust to learn our business and handle all of Xero reconciliations for us.|$45.00|Less than 30 hrs/week|More than 6 months||Bookkeeping,Xero,Bank Reconciliation|$30.00|5.0|Canada Vancouver|5.00|https://www.upwork.com/jobs/~01efd3bc84a99e996d
0|107|Bookkeeper to work with Xero|I need someone to keep the books for my business. 5 to 10 bank and CC accounts. About 100 transactions per month.  We use Xero online.  Start date: Immediate  Native English speakers only. US resident preferred  Budget: $100/mo||||Intermediate|Bookkeeping|$5,200.00|5.0|United States Randolph|5.00|https://www.upwork.com/jobs/~0199c90f5bd4d9d631
0|107|Freelance Bookkeeper for Small Software Business|We need help taking over our bookkeeping in our Xero accounting system, conducting monthly reconciliation (we capture expenses in Shoeboxed) and reporting for a small software company. Our books are in order through end of August, so it will include a bit more time the first month and then monthly ongoing updates.|$38.00||3 to 6 months|Intermediate|Xero,Bank Reconciliation|$2,248.36|4.85|United States Denver|4.85|https://www.upwork.com/jobs/~01e927ba9cb488d628
0|107|Xero accounting and bookkeeping clean up|I need someone to help in cleaning up my Xero accounts on an hourly basis.  Project could turn into ongoing work.  |$30.00|Less than 30 hrs/week|Less than a month|Intermediate|Xero|$3,500.99|5.0|United States Durango|5.00|https://www.upwork.com/jobs/~01060029b410cd0109
0|260|Bookkeeper/VA for Consulting Business|I need a bookkeeper for my consulting business.  The bookkeeping for my business is not significant. At most, it might take 5 hours a month.  But, I do consult small business clients and provide CFO advisory services. At times, I may need some project support as some clients use Quickbooks and I could use help from someone with extensive Quickbooks knowledge.  In addition, there is an opportunity for this position to offer virtual assistant services if that is of interest to you. The virtual assistant tasks would consist of data entry, small data projects, data clean up and upload, etc. Strong excel skills desired.|$45.00|Less than 30 hrs/week|3 to 6 months|Intermediate|Bookkeeping,Data Entry,Virtual Assistant,Intuit QuickBooks,Microsoft Excel,Accounting,Accounting Basics,Bank Reconciliation,Administrative Support,Quickbooks|$360.00||United States Visalia||https://www.upwork.com/jobs/~0152d2444a850dcad6
0|260|Bookkeeper needed to setup and update records for small home improvement company|We are a newer small home improvement business, we have been up and running about one year. We need someone who has previous experience with home improvement bookkeeping. Experience using QB projects  and Google drive is a must. First goal would be getting everything organized in QB. We would ideally like to find someone who can set up a way for us to keep accurate financial records in QB online, and then teach us how to continue to keep those records up to date.|$45.00|Less than 30 hrs/week|Less than a month|Intermediate|Bookkeeping,Intuit QuickBooks,Accounting|$240.00||United States Gaithersburg|2.25|https://www.upwork.com/jobs/~01cd5e93ca68d2b0cb
0|260|Organizational QuickBooks Build|Our veteran-led and primarily veteran-serving remote non-profit organization is moving to QuickBooks for managing our finances.  The team is mostly volunteer, with a few part-time contract team members. We are seeking someone who is an expert using QuickBooks for a nonprofit to set us up well on the platform and then do our monthly bookkeeping.  https://www.leadertransitioninstitute.org|$45.00|Less than 30 hrs/week|More than 6 months||/Bookkeeping Skills,Accounting Basics,Accounting Software/Other,Intuit QuickBooks,Data Entry,Accounting,Quickbooks,Microsoft Excel|$667.50|5.0|United States Havre De Grace|5.00|https://www.upwork.com/jobs/~0140129c9496117440
0|260|Quickbooks Advisor needed for Bookkeeping Clean-up & Setup|We are using Quickbooks online and need initial and ongoing support managing our accounts.  We are seeking an experienced and professional bookkeeper to: - Setup Accounts - Migrate Data from Banks, Credit Cards, Etc. - Reconcile Monthly Accounts - Implement Best Practices  The tools we use are: - BBVA & Wells Fargo for Banking - Quickbooks Online for Accounting - Heartland for Payroll  This will be an ongoing engagement.  We will need the chosen candidate to start immediately.  Colossians 3:23|$30.00|Less than 30 hrs/week|More than 6 months|Intermediate|/Bookkeeping Skills,Accounting Basics,Accounting Software,Quickbooks|$1,275.00|5.0|United States The Woodlands|5.00|https://www.upwork.com/jobs/~018e7aee9d1ea18990
0|260|~~~~Need Help with New Xero Account~~~~|I'm setting up a new Xero account for a digital marketing company.  These are the things I need help with:  Chart of accounts set up Categorizing a very small amount of transactions Inputing projected income from clients (don't actually need to send out invoices) Tutoring about the basics of Xero - I've been using QBO so Xero is new to me Possible ongoing management of the account  I'd like you to start tonight (12/6) if possible. I've already added the bank accounts, so there is probably only an hour of work right away.  Thanks a lot!  Haley|$30.00|Less than 30 hrs/week|3 to 6 months|Entry level|/Accounting Deliverables,Bank Reconciliation/Other,Accounting,Xero,Bookkeeping|$3,735.00|5.0|United States Boulder|5.00|https://www.upwork.com/jobs/~01161fd76f9d8edc0c
0|260|Bookkeeper / Accountant - Christian nonprofit|Our nonprofit is currently seeking a QuickBooks Bookkeeper to join our team! You will be responsible for entering data into QuickBooks and processing reimbursement requests. Must be comfortable working in a Christian nonprofit.  MUST HAVE EXPERIENCE WITH QUICKBOOKS!  Responsibilities:  Obtain primary financial data for accounting records Compute and record numerical data Check the accuracy of business transactions Perform data entry and administrative duties Qualifications:  Previous experience in accounting, finance, or other related fields Fundamental knowledge of GAAP Ability to prioritize and multitask Strong organizational skills Deadline and detail-oriented Applicant must be MS Office proficient Job Type: Part-time and Remote  Required experience:  QuickBooks: 3 year Job Type: Part-time  Salary: $16.00 to $20.00 /hour|$20.00|Less than 30 hrs/week|More than 6 months|Intermediate||$1,556.67||United States Toledo|5.00|https://www.upwork.com/jobs/~01472ea5d11899f8e9
0|260|Seeking Bookkeeper for One Month|We are a small bookkeeping service, providing outsourced bookkeeping to our clients using QBO. We need an extra set of hands to help with a backlog of work.  Duties include: Entering bills and expenses, and marking them billable to the correct customer. Reconciling bank and credit card accounts.  Experience with QBO is a required, as is perfect spelling.|$20.00|More than 30 hrs/week|1 to 3 months|Intermediate|Intuit QuickBooks|$1,496.67|5.0|United States Allentown|5.00|https://www.upwork.com/jobs/~01b709a69cbdb41166
0|1301|Business consultant needed to help me through a major transition in the ownership of my company|I am looking for an experienced freelancer that can help me think through and strategize how best to approach the options I have for my real estate company as it relates to the future ownership.  Required skills must include financial modeling and analysis, ability to strategize towards a desired outcome, change management, and listening/questioning skills.    Additionally, someone that can challenge assumptions, simplify complexity, communicate effectively, and can balance the value of intuition and logic.  |$179.00|Less than 30 hrs/week|1 to 3 months||/Management Consulting Capabilities,Business Change/Management Consulting Skills,Change Management/Other,Strategy,Financial Analysis,Financial Modeling,Relationship Management|$895.00|5.0|United States Cortland|5.00|https://www.upwork.com/jobs/~01b8d128ad18ff42ba
0|1301|Sales & Business Development Expert (High Ticket)|We are a fast growing innovative Management Consulting & Lead Generation / Sales company based in Germany, with a remote team across the globe helping  a) Entrepreneurs, CEOs, Founders b) Companies (SML)  make their vision become reality!  We are looking for the best Sales & Business Development Experts to support fully-remote on an hourly basis + commission 35% – generating leads and close high tickets for a new program that we've recently launched. The SLICE ROCKET program is a curated TURNKEY ACCELERATOR designed for Small Business / Business Owners / Founders to increase their revenue to a stable $30k+/month.  The ideal team member will be able to  . generate & (dis-)qualify leads . convert leads into opportunities . convert opportunities into clients  . develop & execute prospecting strategies . send a high volume amount of emails, Linkedin messages . conduct a high number of daily calls . leverage state-of-the-art follow-up strategies  . work in a fast-paced environment . work on their own initiative . work in Pipedrive, Slack, Trello, Zoom . work on best sales tools, e. g. Convertist, Demandbase  KPIs / Goals Closed Deals Months 1-5 ff. • Month 1: 1x $7997 package x37,5% = $3k for you • Month 2: 2x $7997 package x37,5% = $6k for you • Month 3: 2x $7997 package x37,5% = $6k for you • Month 4: 4x $7997 package x37,5% = $12k for you • Month 5: 4x $7997 package x37,5% = $12k for you  High Instant commission: 35% per deal package closed (minimum deal value per package $7997)  Industries • B2B/Tech/SAAS • Management Consulting • Lead Generation / Sales|$129.00||3 to 6 months||/Sales & Business Development Services,Lead Generation,Sales,Price & Quote Negotiation,Sales Management,Sales Development,Relationship Management,Business Planning & Strategy/Sales & Business Development Software,Pipedrive,Microsoft Excel,HubSpot,Salesforce CRM/Business Size,Business with 100-999 Employees,Business with 1000+ Employees/Other,Business Development,Marketing Strategy,Sales Presentation,Account Management,International Sales,Sales,Lead Generation,Scheduling,Intercom,B2B Marketing,Education,SaaS,Fortune 500 Company,Startup Company|$1,053.50|5.0|Germany Berlin|5.00|https://www.upwork.com/jobs/~018dd614efec1d393a
0|1301|CMO/Growth Consultant for Small Coaching Company for Introverted Men|About us: At Introverted Alpha, we help smart introverted men attract women naturally by bringing out their best.  Our core offerings are all-online, 12-week programs with 1:1 coaching with our IA Coaches at a price point of $7K per program.  We've been around for over 5 years and have experienced a plateau in growth for the last three, and the issue is a combination of...  (a) systematization and delegation, which is rapidly being solved after reading and beginning to implement Traction by Gino Wickman, as well as The Checklist Manifesto and Work The System,  (b) not having the experience in leadership aside from my own (I come from a coaching and sales background, not marketing or business), and  (c) lead generation is slow (our delivery is seamless, but my coaches are often sitting idle.)  //  We're looking for a business consultant to advise on our business plan, specifically co-creating a lead generation initiative, and to be a sounding board as we streamline operational processes.  Project scope (2 hours per week): - Weekly leadership meetings with me (founder, Sarah), possibly together with other consultant(s). - Doing the needed research and thinking to be supportive at those meetings.  Special skills required for the project: - Experience growing small companies (we're around $300k/annual, privately owned, virtual team). - In line with our core values (Thoughtful, Genuine, Refreshing, Ownership, and Excellence), and resonant with what you see at IntrovertedAlpha.com - Speciality in growth, specifically lead generation.  In your proposal, please provide a short description of your experience, including projects with a similar scope.  I look forward to hearing from you, and thank you!|$99.00|Less than 30 hrs/week|More than 6 months|||$19,338.00|5.0|United States Birmingham|5.00|https://www.upwork.com/jobs/~01317e8cb727c015db
0|1301|"Business & Marketing Coach Needed | International Service-Based Startup"|Hi everyone,  Eric here, the founder and owner of a service-based startup for USA and Australia. I am seeking a business coach to really work with me at least an hour a week (maybe more if we work well together and start seeing results)...  Full disclosure, I am a struggling perfectionist. However, I am also a videographer, a presenter, a real people-person, and I am looking to work with someone who can help get some concrete goals and some real direction.  While funds are tight, I am looking to invest in someone for a longterm partnership. I would really love to have an introductory meeting to see if we're a good fit.  Please feel free to reach out about any questions - I appreciate your consideration.  Eric|$129.00|Less than 30 hrs/week|1 to 3 months||/Sales & Business Development Services,Business Planning & Strategy,Market Research/Sales & Business Development Software,HubSpot/Business Size,Business with 1-9 Employees/Other,Marketing Strategy,Copywriting,B2B Marketing,B2C Marketing|$1,505.00|5.0|United States Beaumont|5.00|https://www.upwork.com/jobs/~0101e2b8c007432a9f
0|1301|Need to strategize branding and marketing for (Credit) empire project|Hey, there my name is Anthony Delacruz I am a credit expert! I've been working on a project to create a flywheel Affect with Multiple businesses to lead to one Specific goal which would be Financial independence. in other words  I have four companies: 1)Credit repair company 2)Funding company 3)Educational course based company 4)high ticket mentorship program company  each of them is apart of the credit Industry! I'm looking for a way to combine all of them into a brand and marketing Strategy So I can build out the platforms Necessary to make it all come together!  please contact me for more info! I'm looking for someone to help me create a plan to put it all together so it's easier to manage and to marketing to my target audience.|$99.00||Less than a month||/Marketing Strategy Type,Content Marketing,Search Engine Marketing/Marketing Strategy Services,Customer Retention Strategy,Growth Strategy,Market Analysis,Marketing Automation,Outreach Strategy,Brand Positioning/Other,Advertising,Marketing Strategy,Brand Consulting|$231.00|5.0|United States Greenwich|5.00|https://www.upwork.com/jobs/~0190c0c3807c6ab14b
0|1301|Our business spinoff needs a name and some good storytelling!|My company, Darn Good Yarn, is looking to create another spin-off company to reach a broader market with one of our core clothing lines (non-arts and crafts where we have traditionally grown). In this new business, we need help creating the actual business name and some of the language and storytelling of the business. Old habits are hard to break because I've been so embedded in this brand that I started 10 years ago. I'm looking for fresh eyes to get to know what we want to create and help mold its future.  Ideally, I'm looking to have a couple of strategy sessions with someone to help me get clarity on the market, messaging and ultimately the name of the company.|$99.00|Less than 30 hrs/week|1 to 3 months|Intermediate||$9,157.50|5.0|United States Halfmoon|5.00|https://www.upwork.com/jobs/~01b67b868b308f22ff
0|1301|Business Analysis/Strategist for Startup|We are looking for a professional business analysis who can assist us in creating a strategy for the launch of our startup. We will need an in depth business plan/ model to use as a guide to launch and build our company. The building blocks concerning business model are already in place. We need someone to dissect our business model, look for weakness and discuss creative ideas to make our model more efficient and profitable.  We will have a commission based sales team in several major cities. We will need to determine best commission structure with signup bonus, monthly bonus, and residual payout. Wirth this, we will need to discuss feasibility of cost for service and modify if necessary to comply with market demand and affordability. Market research to determine future revenue will need to be determined as well. Strong online marketing skills a plus. Looking forward to hearing from you. Thanks!|$79.00||Less than a month||/Content Strategy Services,Market Research/Other,Social Media Marketing,Business Plan,Facebook|$237.00|5.0|United States Sacramento|5.00|https://www.upwork.com/jobs/~0149e2d5cee6eaf6f0
0|1301|30k/month Amazon Business - Need Help Expanding|Hello! We are a small Amazon business in the process of growing. We are currently doing 30k a month and we need some consulting on where to take our business to the next level and how to hire employees correctly. We have scaled very quickly and are wanting to continue growing with the holiday season coming up. We are looking for a coaching/business mentor type relationship.|$99.00|Less than 30 hrs/week|3 to 6 months||/Sales & Business Development Services,Competitive Analysis,Business Planning & Strategy,Lead Generation,Partnership Development,Relationship Management,Market Research/Sales & Business Development Software,HubSpot/Business Size,Business with 1-9 Employees/Other,Business Development,Marketing Strategy,Amazon Seller Central,Amazon FBA,Ecommerce Platform Development,Social Media Marketing,Amazon Plugin,Partnership Development,Project Management,Ecommerce|$2,359.50|5.0|United States Tempe|5.00|https://www.upwork.com/jobs/~0119eb4ce017ce5135
0|1301|Digital lead generation Marketing Plan for Promotional Products Co|Looking for a Promotional Products industry experienced Lead gen pro.  We need a cost-effective marketing plan to generate new leads/customers.  The industry is extremely crowded.  I don't want to reinvent the wheel on this - I'm looking for someone who has a deep understanding of the industry and a proven lead gen track record.  Please respond with your industry experience.  $500 to help us generate a proven marketing plan/strategy. Possible continued consulting for us after the marketing plan.|||||Lead Generation,Email Marketing,Marketing Strategy,Digital Marketing|$129.00|5.0|United States Scottsdale|5.00|https://www.upwork.com/jobs/~01a531869b60f6e678
0|1301|Digital Marketing and Sales Strategy for a Small Business|We are about to launch a new service and a new product and we need to come up with a digital marketing and sales strategy to get new clients. Most of these marketing/sales efforts with will be digital and some will be face-to-face. The sales or the marketing coach will help us to draft a strategy or a plan to achieve our sales goals.|$129.00|Less than 30 hrs/week|3 to 6 months||/Sales & Business Development Services,Business Planning & Strategy,Market Research,Sales,Relationship Management/Other,Sales|$258.00|5.0|United States Fishers|5.00|https://www.upwork.com/jobs/~01650217edb7ddf4dd
0|1047|"BPMN standard to draw the business case ""Ordering in an online store"""|"Use BPMN standard to draw the business case ""Ordering in an online store"" and then comment on the use of lanes, pools and swimlanes and evaluate and critisze their use in this business case. Use references and cite them. ◦ maximum 1000 words ◦ maximum two figures / maximum one table ◦ maximum four pages"||Less than 30 hrs/week|Less than a month|Intermediate|Agile Project Management,Kanban Methodology,Product Development,Microsoft Power BI,Business Process Model & Notation,Business Process Modeling,Jira,Sparx Systems Enterprise Architect,Process Design,Process Modeling,Process Improvement,SAP,Solution Architecture,Business Analysis|$250.00|5.0|Germany Munich|5.00|https://www.upwork.com/jobs/~018e844af5be4928d0
0|1047|Business Analyst with Hands-on Identity Management Experience|Location: Remote/Anywhere working EST/CET time zones as part of a team  Note: Applicants for this position will be asked to perform a paid hands-on skills test that can be completed in 12 hours or less.  Company Overview:  EmpowerID is a leading Cloud Security company that provides Identity Governance and Access Management solutions to businesses around the world. Our goal is to empower organizations to secure their digital assets, streamline their operations, and simplify their compliance efforts.  Job Description:  We are seeking highly skilled and experienced Identity Security Consultants/Business Analysts with hands-on technical expertise in Cloud Security, Identity Governance, Access Management, and Azure. As an Identity Security Consultant/Business Analyst, you will critically analyze and document business requirements, define functional specifications, and collaborate with cross-functional teams to develop solutions that meet customer needs.  Responsibilities:  Collaborate with customers, stakeholders, and cross-functional teams to gather and analyze business requirements and translate them into functional specifications Develop and maintain detailed project plans, timelines, and deliverables Analyze and document business processes, workflows, and system architecture Assist in the design and development of solutions that meet customer needs Participate in testing and quality assurance activities Provide training and support to end-users Requirements:  Bachelor's degree in Computer Science, Information Technology, or a related field 3+ years of experience as a Business Analyst or related role Technical expertise in Cloud Security, Identity Governance, Access Management, and Azure Previous experience with a competing IGA product such as SailPoint, One Identity, NetIQ, or Omada would be a big plus Previous experience with any Low Code platform such as Power Platform, UiPath, Blue Prism, Nintex, etc. would be a huge plus Experience with SAP GRC/Access Management a huge plus Experience generating process flow charts, UI mockups, and PowerPoint presentations essential Strong analytical and problem-solving skills Excellent written and verbal communication skills Ability to work independently and as part of a team Experience working in an Agile environment If you are a self-motivated individual with a passion for Cloud Security, Identity Governance, and Access Management and want to work for a dynamic company that values innovation and excellence, we want to hear from you. Apply now and join the EmpowerID team.|$25.00|More than 30 hrs/week|More than 6 months||Information Security,sap grc,User Identity Management,Flowchart,Business Analysis,Product Management|$166.67||United States Dublin|1.00|https://www.upwork.com/jobs/~011cf4b7f52b155b0d
0|1047|Urgent correction of a supply chain BRD|BRD for a supply chain project needs to be correct, reorganized, and cleaned up.  The BRD right now is not very clear and it needs to be rearranged with a new summary (I give the new order). Most of the job is copy and past with corrections if the meaning is not clear. Other parts require a better explanation. I can help by giving information related to the project. Looking for someone to work in a team with for the next week.  BRD needs to be delivered max next Friday 30th Sept.|$25.00|Less than 30 hrs/week|Less than a month||/Business Analysis & Strategy Skills,Business Analysis/Other,BRD,Supply Chain & Logistics,Stakeholder Management,Microsoft Excel,Supply Chain Management|$162.50|5.0|United Kingdom London|5.00|https://www.upwork.com/jobs/~0124f77ff087a966ff
