freelancer_id|location|success_rate|badge|t_earnings|t_jobs|t_hours|hours_per_week|languages|profile_title|hourly_rate|skills|profile_link
41|Dhaka, Bangladesh|100%|TOP RATED PLUS|$40K+|51|6,503|More than 30 hrs/week|English: Native or Bilingual,Bengali: Native or Bilingual|Forex Analyst, Educator & Signal Provider|$15.00/hr|/Financial Analysis & Modeling Skills,Financial Analysis,Forecasting/Financial Analysis & Modeling Deliverables,Financial Forecast,Financial Planning,Financial Projection/Other Skills,CFD Analysis,Forex Trading|https://www.upwork.com/freelancers/~014f465ec58e321b49?s=1110580754793353216
536|Delhi, India|96%|TOP RATED PLUS||124|2,719|More than 30 hrs/week|English: Native or Bilingual,Hindi: Native or Bilingual|Financial Modelling expert|$75.00/hr|/Financial Analysis & Modeling Skills,Accounting Principles & Practices,Industry Knowledge,Financial Analysis,Forecasting,Financial Modeling,Valuation,Microsoft Excel/Financial Analysis & Modeling Deliverables,Financial Projection,Financial Planning,Company Valuation,Financial Report,Pro Forma Statement/Other Skills|https://www.upwork.com/fl/~01f7a16dc71fe8ecf2?s=1110580754793353216
936|Wayne, United States|100%|TOP RATED PLUS||42|997|As Needed - Open to Offers|English: Native or Bilingual|Financial Analyst|$125.00/hr|/Financial Analysis & Modeling Deliverables,Pro Forma Statement,Financial Forecast,Business Plan,Company Valuation,Financial Planning,Pitchbook/Financial Analysis & Modeling Skills,Financial Analysis,Forecasting,Microsoft Excel,Financial Modeling,Valuation/Other Skills,Investment Research,Investment Strategy,Financial Reporting|https://www.upwork.com/freelancers/~01356cbff0f6d0f366?s=1110580754793353216
1429|London, United Kingdom|94%|TOP RATED||20|138|As Needed - Open to Offers|English: Native or Bilingual|5* CFO (Clients incl. BP, Unilever & MBC Group)|$120.00/hr|/Financial Management/CFO Deliverables,Staff Recruitment & Management,Presentations,Pro Forma Statement,Financial Report,Company Valuation,Business Plan,Enterprise Risk Management,Financial Policies & Procedures,Financial Forecast,Pitchbook,Financial Planning,Financial Projection,Financial Modeling,Business Cases/Financial Management/CFO Skills,Corporate Governance,People Management/Other Skills|https://www.upwork.com/freelancers/~01384c05e616872514?s=1110580754822713344
649|Amsterdam, Netherlands|100%|TOP RATED||87|461|Less than 30 hrs/week|English: Native or Bilingual|Fractional CFO / Controller|$100.00/hr|/Financial Management/CFO Deliverables,Financial Report,Company Valuation,Enterprise Risk Management,Pro Forma Statement,Business Plan,Financial Forecast,Business Cases,Financial Modeling/Other Skills,Education Presentation|https://www.upwork.com/freelancers/~01446a3cab5356e367?s=1110580754822713344
1059|Narre Warren, Australia|100%||$2K+|8|121|As Needed - Open to Offers|English: Native or Bilingual,Romanian, Moldavian, Moldovan: Native or Bilingual,Japanese: Conversational|HR Recruiting|$45.00/hr|/HR Administration Skills,Candidate Recommendation,Training,Interpersonal Skills,Recruiting,Communications,Compensation & Benefits/HR Administration Deliverables,Job Posting,Payroll Accounting,Benefits,Compensation,Company Policy/Other Skills|https://www.upwork.com/freelancers/~01e57269948f6ac8de?s=1110580756089393152
1771|Hartwick, United States|100%||$300+|13|54|As Needed - Open to Offers|English: Native or Bilingual|Executive Human Resources Expert|$125.00/hr|/HR Administration Deliverables,Company Policy,Employee Communications,Job Posting,Personnel Records,Procedure Development/HR Administration Skills,Training,Interpersonal Skills,Employee Relations,Communications/Other Skills,Employee Onboarding,Communication Strategy,Staff Orientation & Onboarding Materials,Employment Handbook,Employee Training,Employee Engagement,Policy Development,Employee Motivation|https://www.upwork.com/freelancers/~012f9392f86ee2e5e8?s=1110580756089393152
1403|Lahore, Pakistan|HR Administration|||3|108|As Needed - Open to Offers|English: Native or Bilingual,Urdu: Native or Bilingual,Panjabi, Punjabi: Fluent|"Talent Strategist | HR Specialist | Recruitment"|$30.00/hr|/HR Administration Deliverables,Employee Communications,Benefits,Company Policy,Payroll Accounting,Personnel Records,Job Posting,Compensation Report,Termination,Compensation,Candidate Evaluation,Procedure Development/HR Administration Skills,Compensation & Benefits,Employee Relations,Interpersonal Skills,Candidate Recommendation,Communications,Recruiting,Training/Other Skills,Candidate Sourcing,Candidate Management,Candidate Interviewing,Candidate Interview Consulting|https://www.upwork.com/freelancers/~01954124fab44bfc77?s=1110580756089393152
307|Leander, United States|100%|TOP RATED PLUS||2|1,632|Less than 30 hrs/week|English: Fluent|Senior ISD and e-learning Developer|$85.00/hr|/Training & Development Purposes,Leadership Training,Product Support,Organizational Development,Compliance Training,Employee Onboarding/Training & Development Scopes,Lesson,Job Aid,Class,Course,Program Curriculum,Workshop/Training & Development Formats,Synchronous Learning,Face-to-Face Instruction,Online Instruction,Hybrid App Development/Other Skills|https://www.upwork.com/freelancers/~011b900e4690b6cce9?s=1031626805600567296
1838|Palm Coast, United States|100%|TOP RATED||3|194|Less than 30 hrs/week|English: Fluent|Instructional Designer specializing in online course development|$43.75/hr|/Training & Development Scopes,Course,Job Aid,Lesson,Workshop,Class,Program Curriculum/Training & Development Purposes,Compliance Training,Employee Onboarding,Academic K-12,Higher Education/Training & Development Formats,Online Instruction,Synchronous Learning,Instructional Design/Other Skills,LearnDash,Genially,Canvas,Google Slides,H5P,Google Docs,Microsoft PowerPoint|https://www.upwork.com/freelancers/~01c242e30a433279f1?s=1031626805600567296
1740|Fort Collins, United States|100%|TOP RATED PLUS|$100K+|53|1,113|More than 30 hrs/week|English: Native or Bilingual|Expert Business Consultant - Business Plan, Pitch Deck, Success Coach|$180.00/hr|/Management Consulting Deliverables,Business Plan/Management Consulting Skills,Change Management,Financial Analysis,Management Consulting,Business Analysis/Management Consulting Capabilities,Strategy/Other Skills,Pitch Deck|https://www.upwork.com/fl/~01e5f56b334b65630a?s=1017484851352698988
909|Veldhoven, Netherlands|100%|TOP RATED||29|528|As Needed - Open to Offers|English: Fluent,Russian: Native or Bilingual,Ukrainian: Native or Bilingual,Dutch: Basic,Indonesian: Basic|Fintech & Blockchain Advisor / Web3 Founder|$770.00/hr|/Management Consulting Capabilities,Organizational Design & Effectiveness,Business Change,Interim Executive,Strategy/Management Consulting Functions,HR & Business Services,Business Development,Mergers & Acquisitions,IT Consultation,Strategy,Sales & Marketing,Finance & Accounting,Business Operations/Management Consulting Deliverables,Business Plan,Report,Organizational Plan/Management Consulting Skills,Financial Analysis,Strategic Plan,Team Building,Business Analysis,Communications,Information Analysis,Change Management,Market Planning/Other Skills,Product Management,NFT,Product Development,Financial Modeling,Fundraising,ICO White Paper,ICO Marketing,Interpersonal Skills|https://www.upwork.com/freelancers/~01a882402a74ffc5aa?s=1017484851352698988
1659|Los Angeles, United States|92%|TOP RATED PLUS||108|370|As Needed - Open to Offers|English: Native or Bilingual,Persian: Fluent|MBA, SAAS Pricing and Revenue Strategy Expert|$250.00/hr|/Industry,Health & Wellness,Legal,Education,Food & Beverage,Science & Medicine,Finance & Accounting,Media & Entertainment,Real Estate/Management Consulting Capabilities,Strategy,Business Change/Management Consulting Functions,Finance & Accounting,Mergers & Acquisitions/Management Consulting Skills,Business Analysis,Financial Analysis,Management Consulting/Management Consulting Deliverables,Business Plan/Other Skills,Pricing Research,Financial Analysis & Valuation,Revenue Management,Financial Management,Pricing Strategy Consulting,Scenario Planning|https://www.upwork.com/fl/~0123ce12511f49bab1?s=1017484851352698988
1326|Newcastle, Australia|Personal Coaching|||4|8|Less than 30 hrs/week|English: Native or Bilingual|Passionate and talented Coach for Individuals and Companies.|$35.00/hr|/Personal Coaching Services,Face-to-Face Coaching,Motivational Speaking,Life Coaching/Other Skills|https://www.upwork.com/freelancers/~01badb14d30f37a64e?s=1313512633344503808
1803|Edinburgh, United Kingdom|100%|TOP RATED||6|24|As Needed - Open to Offers|English: Native or Bilingual,Portuguese: Native or Bilingual|"Certified PT & Nutritionist | Online Health & Fitness Coach"|$30.00/hr|/Personal Coaching Services,Physical Fitness,Life Coaching,Sports Coaching/Other Skills,Health & Fitness,Nutrition,Sports & Fitness,Health & Wellness,Strength Training,Health Science,Toning Exercise,Training Session,Low Impact Exercise,Exercises & Supporting Materials,Fitness Tracker,Educational Exercise,Personal Training Session|https://www.upwork.com/freelancers/~017bbce17d03023747?s=1313512633344503808
453|Bahawalpur, Pakistan|100%|TOP RATED|$2K+|32|164|More than 30 hrs/week|English: Fluent|Lead Generation, Web Scraping, Data Entry|$8.00/hr|/Business Type,Fortune 500 Company,Startup Company,Nonprofit Organization,S-Corporation,Limited Liability Company,C-Corporation/Recruiting & Talent Sourcing Software,ADP Workforce Now,BambooHR/Business Size,Business with 10-99 Employees,Business with 1000+ Employees,Business with 100-999 Employees,Business with 1-9 Employees/Recruiting & Talent Sourcing Deliverables,Candidate Recommendation,Candidate Evaluation,Internet Recruiting/Recruiting & Talent Sourcing Skills,Boolean Search,Candidate Interviewing/Industry,Sports & Recreation,Education,Food & Beverage,Finance & Accounting,Fashion & Beauty,Real Estate/Other Skills|https://www.upwork.com/freelancers/~01c16749b058213c48?s=1031626810218496000
1425|Antananarivo, Madagascar|100%|||11|971|As Needed - Open to Offers|English: Conversational,French: Native or Bilingual|Recruteur - Sourceur - Headhunter - Linkedin Expert|$20.00/hr|/Recruiting & Talent Sourcing Skills,Candidate Sourcing,Candidate Interviewing,Boolean Search,Candidate Management,Recruiting,Job Description Writing,Resume Screening/Recruiting & Talent Sourcing Deliverables,Candidate Source List,Candidate Recommendation,Candidate Evaluation,LinkedIn Recruiting,IT Recruiting,Internet Recruiting,Recruiting Process Consulting,Hiring Strategy/Industry,Tech & IT/Business Size,Business with 1-9 Employees,Business with 10-99 Employees/Business Type,Startup Company/Other Skills,Media & Entertainment,Communications|https://www.upwork.com/freelancers/~01432c17b21b4575c9?s=1031626810218496000
1131|Toronto, Canada|88%|||64|267|More than 30 hrs/week|English: Native or Bilingual|"Experienced Recruiter | Talent Sourcer: Find the best talent"|$28.00/hr|/Recruiting & Talent Sourcing Skills,Candidate Sourcing,Candidate Interviewing,Staff Recruitment & Management,Resume Screening,Job Description Writing,Mock Interview,Candidate Management,Boolean Search,Recruiting/Industry,Aviation,Architecture & Interior Design,Manufacturing & Construction,Finance & Accounting,Automotive,Engineering & Architecture,Science & Medicine,Agriculture & Forestry,Real Estate,Tech & IT,Sales & Marketing,Amusement & Gambling,Energy & Utilities,Supply Chain & Logistics,Transportation,Travel & Hospitality,Military & Defense,Food & Beverage,Waste Management & Remediation,Government & Public Sector,Fashion & Beauty,HR & Business Services,Retail & Consumer Goods,Education,Sports & Recreation,Health & Wellness/Recruiting & Talent Sourcing Deliverables,Candidate Source List,Human Resource Management,Warm Leads,Candidate Recommendation,Internet Recruiting,LinkedIn Recruiting,IT Recruiting,Hiring Strategy,Recruiting Process Consulting,Candidate Evaluation/Recruiting & Talent Sourcing Software,Zoho Recruit,TalentLMS,Paycor Recruiting,HRsoft,StaffingSoft,PeopleSoft,BambooHR,SAP SuccessFactors,ADP Workforce Now/Business Size,Business with 10-99 Employees,Business with 100-999 Employees,Business with 1-9 Employees,Business with 1000+ Employees/Business Type,C-Corporation,Startup Company,State-Owned Enterprise,S-Corporation,Limited Liability Company,Nonprofit Organization,Fortune 500 Company/Other Skills,Client Interview,Interview Preparation,Human Resources,Job Posting,Executive Search,Human Resource Information System,HR Cloud Onboard,Resume Design,CV,Microsoft Power BI Data Visualization,Applicant Tracking Systems,Microsoft PowerPoint,Microsoft Excel|https://www.upwork.com/freelancers/~0179bc603d979d9e6c?s=1031626810218496000
1161|Surat, India|100%|TOP RATED||69|3,291|As Needed - Open to Offers|English: Native or Bilingual,Hindi: Native or Bilingual,Spanish: Basic|"US Tax Preparer || IRS Licensed Enrolled Agent || Quickbooks Online"|$30.00/hr|/Tax Preparation Skills,Tax Table,Communication Skills,Certified Tax Preparer,Tax Law,Accounting Principles & Practices,Tax Theory,Tax Preparation Software,Numeric Fluency/Tax Preparation Deliverables,Sales Tax,Tax Planning & Advisory,Franchise Tax,Goods & Services Tax,Tax Return,Tax Preparation/Other Skills,US Taxation,Quickbooks,Tax Refund Submission,Bank Reconciliation,Intuit QuickBooks,Bookkeeping,Tax Accounting,Xero,Account Management,Financial Accounting,QuickBooks Online,Account Reconciliation,Tax Law Compliance,Payroll Accounting,Payroll Reconciliation|https://www.upwork.com/fl/~01de14955aa4bf8e80?s=1110580766206054400
1311|London, United Kingdom|100%|||265|1,619|More than 30 hrs/week|English: Native or Bilingual|Certified HMRC VAT Agent Based in London UK|$19.99/hr|/Tax Preparation Skills,Certified Tax Preparer/Tax Preparation Deliverables,Value-Added Tax/Other Skills|https://www.upwork.com/fl/~01a81b4295711e44a3?s=1110580766206054400
216|Islamabad, Pakistan|Training & Development||$4K+|2||As Needed - Open to Offers|English: Native or Bilingual,Urdu: Native or Bilingual|Online Video Course Developer & Marketer - Udemy + YouTube Specialist|$35.00/hr|/Training & Development Skills,Curriculum Design,Learning Theory,Training Needs Analysis,Training Design,Training & Development,Communications,Curriculum Development,Facilitation/Training & Development Deliverables,Training Plan,Procedure Manual,Curriculum Plan,Assessment Activity,Multimedia Instruction,Handout,Compliance Training/Industry,Education,Tech & IT,Energy & Utilities,Manufacturing & Construction,Food & Beverage,Sales & Marketing,HR & Business Services,Media & Entertainment/Other Skills,Project Analysis,Project Delivery,Project Management Professional,Project Finance,Time Management,Competencies Assessment,Project Plans,Academic Writing,Project Workflows,Project Timelines,IBM SPSS,Project Objectives,Resolves Conflict,Basecamp,Technical Support,Academic Research,Product Knowledge,Milestones,Training Presentation,Content Creation,Figma,Team Alignment,Team Management|https://www.upwork.com/freelancers/~0161b53872678a690f?s=1110580767023943680
1724|Orchidlands Estates, United States|100%|TOP RATED|$70K+|23|874|As Needed - Open to Offers|English: Native or Bilingual,Chinese: Conversational|"Training & Development | eLearning | Instructional Design"|$50.00/hr|/Training & Development Skills,Curriculum Design,Training Needs Analysis,Training & Development,Learning Theory,Curriculum Development,Training Design,Qualitative Research,Multimedia Design,Communications,Multimedia Instruction,Facilitation/Training & Development Deliverables,Procedure Manual,Training Plan,Handout,Staff Orientation & Onboarding Materials,Compliance Training,Assessment Activity,Curriculum Plan,Multimedia Instruction/Industry,Finance & Accounting,Legal,Tech & IT,Education/Other Skills,Performance Management,Organizational Development,Learning Management System,Business Services|https://www.upwork.com/freelancers/~01f5d3275fb7a386b9?s=1110580767023943680
1715|Gijon, Spain|100%|||6|429|As Needed - Open to Offers|English: Fluent,Spanish: Native or Bilingual|"Knowledge Manager | Learning and Development Manager | HR development"|$50.00/hr|/Training & Development Deliverables,Compliance Training,Assessment Activity,Procedure Manual,Curriculum Plan,Training Plan,Scaffolded Learning,Multimedia Instruction/Industry,Education,Retail & Consumer Goods/Training & Development Skills,Learning Theory,Curriculum Design,Communications,Curriculum Development/Other Skills|https://www.upwork.com/freelancers/~0105ff2158612f8cd5?s=1110580767023943680
863|Colombo, Sri Lanka|100%|TOP RATED PLUS||13|1,647|As Needed - Open to Offers|English: Native or Bilingual|Business Process Consultant|$20.00/hr|/Business Project Management Software,Trello/Business Project Management Skills,Team Management/Business Project Management Services,Project Objectives,Project Workflows,Business Planning & Strategy/Other Skills|https://www.upwork.com/freelancers/~018d363f5b8000a9ac?s=1534904461808713728
1027|Cape Town, South Africa|Business Project Management|||5|14|More than 30 hrs/week|English: Fluent,Afrikaans: Native or Bilingual|Project Manager|$40.00/hr|/Other Skills,Education Presentation,Project Management,Analytical Presentation,Project Management Professional,Insurance & Risk Management,Management Skills,Communications,Project Plans,Human Resource Management,Quality Assurance|https://www.upwork.com/fl/~01d7f89be1a0e5eb91?s=1534904461808713728
1041|Lindenhurst, United States|Construction & Engineering Project Management|||3|130|More than 30 hrs/week|English: Native or Bilingual|Construction Admin Consultant|$75.00/hr|/Industry,Manufacturing & Construction,Architecture & Interior Design/Construction & Engineering Project Management Software,Procore,Buildertrend/Construction & Engineering Project Management Skills,Team Management/Business Type,C-Corporation,Limited Liability Company/Construction & Engineering Project Management Services,Material Requirements Planning/Business Size,Business with 10-99 Employees,Business with 1-9 Employees/Other Skills|https://www.upwork.com/fl/~01bd96f1220c31fc3f?s=1484275234401603584
1173|Alexandria, Egypt|Hours per week|||3|74|As Needed - Open to Offers|English: Fluent,Arabic: Native or Bilingual|Project manager|$30.00/hr|/Construction & Engineering Project Management Skills,Team Management,Project Risk Management,Budget Management,Data Entry,Benchmarking/Industry,Engineering & Architecture,Real Estate,Tech & IT,Architecture & Interior Design,Manufacturing & Construction/Business Type,Startup Company,Nonprofit Organization,Limited Liability Company,C-Corporation/Business Size,Business with 10-99 Employees,Business with 1-9 Employees,Business with 1000+ Employees,Business with 100-999 Employees/Construction & Engineering Project Management Services,Cost Planning,Site Planning,Material Requirements Planning/Construction & Engineering Project Management Software,Autodesk BIM 360/Other Skills,Insurance & Risk Management,Network Monitoring,Communications,Risk Analysis,Strategy,Analytical Presentation,Project Management Professional,Project Plans,Human Resource Management,Quality Assurance|https://www.upwork.com/freelancers/~01e2f89ca760f667a1?s=1484275234401603584
1371|Tbilisi, Georgia|86%|||11|804|More than 30 hrs/week|English: Native or Bilingual,Georgian: Native or Bilingual,Russian: Fluent|Microsoft Project|$20.00/hr|/Construction & Engineering Project Management Skills,Project Risk Management/Other Skills,Project Scheduling,Document Formatting,Document Control,Report Writing,Project Schedule & Milestones,Microsoft Project|https://www.upwork.com/freelancers/~0126d77a2332f64397?s=1484275234401603584
73|Chittagong, Bangladesh|99%|TOP RATED||209|26|More than 30 hrs/week|English: Fluent|Lead Generation , Web Scraping ,Data Minning ,List Building,Email list|$5.00/hr||https://www.upwork.com/freelancers/~0162ef25bad06f2090?s=1017484851352698991
556|Merida, Venezuela|100%|TOP RATED PLUS||132|4,361|As Needed - Open to Offers|English: Conversational,Spanish: Native or Bilingual,Italian: Basic|Web Research & Data Entry|$43.00/hr|/Data Entry Services,Batch Proof Reports,Error Detection,Product Listings,Data Entry/Data Entry Skills,Accuracy Verification/Data Entry Tools,Microsoft Excel,Microsoft Word,Google Docs,Medical Records Software/Other Skills,Information Management,Proofreading,Spreadsheet Software,Medical Transcription,Spanish,General Transcription,Data Analysis,Clerical Procedures,Database|https://www.upwork.com/freelancers/~01e5585f21fda719ac?s=1017484851352698991
977|Cagayan de Oro, Philippines|100%|TOP RATED PLUS|$40K+|8|2,978|As Needed - Open to Offers|English: Fluent|WEB & IT Project Manager|$20.00/hr|/Industry,Finance & Accounting/Business Size,Business with 10-99 Employees/Business Type,Startup Company,C-Corporation,Nonprofit Organization/Development & IT Project Management Tools,Jira/Development & IT Project Management Services,Software Development/Development & IT Project Management Skills,Agile Project Management/Other Skills,Project Scheduling,Trello,ClickUp,Google Sheets|https://www.upwork.com/freelancers/~0169ca43b0a9273179?s=1484275220996608000
1170|East Northport, United States|Hours per week||$100K+|2|874|More than 30 hrs/week|English: Native or Bilingual|Technology Project Manager with Significant Experience and Training|$75.00/hr|/Development & IT Project Management Services,Disaster Recovery,Software Documentation,Cloud Implementation,Data Migration,IT Asset Management,Software Development,IT Compliance Audit,Information Technology Strategy,Technical Documentation Management/Development & IT Project Management Skills,Agile Project Management,Resource Allocation,Report Writing,Platform Migration,Project Risk Management,Team Management,Business Coaching,Implementation,Change Management,Budget Management,Business Analysis,Requirement Analysis/Industry,Education,Science & Medicine,Retail & Consumer Goods/Business Type,Nonprofit Organization,C-Corporation,S-Corporation,Fortune 500 Company,Limited Liability Company,Startup Company/Business Size,Business with 100-999 Employees,Business with 1000+ Employees,Business with 1-9 Employees,Business with 10-99 Employees/Development & IT Project Management Tools,Wrike,Project Plans,Jira,Asana/Other Skills,Conference,Leadership Skills,Microsoft Project,Waterfall|https://www.upwork.com/fl/~019db01e8c8490f952?s=1484275220996608000
215|Buenos Aires, Argentina|100%|TOP RATED||9|284|Less than 30 hrs/week|English: Native or Bilingual,Portuguese: Native or Bilingual,Spanish: Native or Bilingual,French: Basic,Italian: Basic|"Prompt engineer | Artificial Intelligence"|$49.00/hr|/Business Size,Business with 100-999 Employees/Development & IT Project Management Skills,Project Risk Management,Budget Management/Business Type,Fortune 500 Company,Startup Company/Development & IT Project Management Tools,Jira/Other Skills,Team Alignment,Communications,Product Management,Process Infographics,Business Cases,Digital Project Management,Technical Project Management,Project Scheduling,IT Management|https://www.upwork.com/fl/~01fedaff0753a678c6?s=1484275220996608000
966|Ikeja, Nigeria|96%|TOP RATED||32|232|More than 30 hrs/week|English: Native or Bilingual,French: Fluent,Spanish: Basic|"Certified Notion Expert | Notion Specialist"|$30.00/hr|/Digital Project Management Skills,Digital Project Management,Task Creation,Digital Strategy,Team Management/Industry,Media & Entertainment,Sales & Marketing,Finance & Accounting,Health & Wellness,Fashion & Beauty,Education/Other Skills,Notion|https://www.upwork.com/freelancers/~0122259b92075a9f7e?s=1017484851352698979
