job_id,hourly_rate,freelancer_id,weekly_hours_needed,project_length,skills_required,earnings,feedback_for_freelancer,client_location
20,,1342,2,0,"['Operating Systems', 'Windows Server', 'Other', 'Microsoft Exchange Server', 'System Administration', 'Network Administration', 'SSL']",15.0,5.0,North America
21,$15.00,541,2,3,"['Deep Learning Skills', 'Neural Network', 'Computer Vision', 'Deep Learning Tools', 'Keras', 'TensorFlow']",1690.0,4.15,North America
22,,659,0,2,"['AR', 'VR Tools', 'Unity', 'Vuforia', 'ARKit', 'Mobile Programming Languages', 'JavaScript', 'C#', 'Other', '3D Modeling', 'Blender', 'Augmented Reality', 'Virtual Reality', 'Unity']",812.51,5.0,North America
25,,1804,2,0,['Legal Consulting'],3500.0,5.0,North America
26,,47,2,0,"['Sketch', 'Cartoon Art', 'Adobe Photoshop', 'Adobe Illustrator', 'Illustration', 'Technical Illustration', 'Infographic', 'Abstract Style', 'Concept Artistry']",60.0,5.0,Europe
27,,1734,2,0,"['Researcher', 'Data Entry']",10.0,5.0,North America
28,$5.00,1080,0,1,"['Social Media Marketing Services', 'Influencer Marketing', 'Other', 'Influencer Research', 'Influencer Shoutout', 'Social Media Marketing']",650.0,5.0,North America
29,$8.75,241,0,3,"['Administrative Support', 'Virtual Assistant', 'Virtual Assistance', 'Data Entry', 'Email Communication', 'Microsoft Office', 'File Management', 'Task Coordination', 'Light Project Management']",1576.48,5.0,North America
30,$75.00,237,0,1,"['Content Writing Services', 'Editing & Proofreading', 'Content Writing Topics', 'Architecture', 'Content Writing Type', 'Ghostwriting', 'Other', 'Writing', 'Researcher', 'Executive Summary', 'English', 'Strategic Plan']",4650.0,5.0,North America
31,$45.00,488,0,1,"['Accounting', 'Account Reconciliation']",202.5,5.0,Europe
32,$195.00,1258,0,0,"['Tax Law Type', 'Corporate Tax', 'Other', 'Tax Law', 'Legal']",520.0,3.0,North America
34,$20.00,1715,1,3,"['Elearning', 'Instructional Design', 'Content Writing']",8430.01,5.0,North America
35,,1659,2,0,"['SaaS', 'Pricing Strategy Consulting', 'Pricing Research', 'Pricing']",200.0,5.0,Asia
36,$75.00,217,0,0,"['Business Analysis & Strategy Skills', 'Business Valuation']",262.5,3.0,North America
37,,1637,2,0,"['Data Scraping', 'Web Crawling', 'Python', 'Data Extraction', 'Microsoft Excel']",225.0,5.0,Oceania
38,$40.00,740,0,0,"['PHP', 'MySQL Programming', 'Unix', 'phpMyAdmin', 'WordPress Plugin', 'WordPress', 'Data Mining', 'Data Scraping', 'Oracle PLSQL']",640.0,5.0,North America
39,,413,0,0,"['Video Editing', 'Video Production', 'Animation', '2D Animation', 'Adobe After Effects', 'Video Post-Editing', 'Motion Graphics', 'Video Animation']",1500.0,5.0,North America
43,,328,2,0,"['Microcontrollers & Hardware', 'nRF52', 'Other', 'C', '11AA161']",100.0,3.0,Asia
44,,1768,2,0,"['Academic Writing', 'Essay Writing', 'Creative Writing', 'Technical Writing', 'Research Papers', 'Research Proposals', 'Article Writing', 'Presentations', 'Report Writing', 'Academic Research', 'Business Writing', 'Data Analysis', 'White Paper Writing']",180.0,5.0,Asia
46,,1012,2,0,"['Website Builders & CMS Platforms', 'Wix', 'WordPress']",20.0,5.0,North America
48,$70.00,726,0,1,"['Email Deliverability', 'DNS', 'SMTP', 'SendGrid', 'MailCow', 'Cloudflare', 'Microsoft Outlook', 'Mail Server Implementation']",198.33,3.4,North America
49,,1263,0,0,['Researcher'],270.0,5.0,Europe
50,,1514,0,1,"['Market Analysis', 'Data Analysis', 'Researcher', 'Competitive Analysis']",812.51,5.0,Europe
51,,328,2,0,"['Microcontrollers & Hardware', 'nRF51', 'nRF52', 'Other', 'Arduino', 'Arduino Firmware', 'ESP32', 'Microcontroller Programming']",125.0,3.0,Oceania
52,,1635,1,2,"['SEO Services', 'On-Page SEO', 'Other', 'SEO Backlinking', 'SEO Keyword Research', 'Search Engine Optimization', 'SEO Performance', 'Off-Page SEO']",330.0,5.0,North America
53,,353,0,2,"['2D Animation', 'Motion Graphics', 'Animation', 'Traditional Animation', 'Illustration', 'Graphic Design']",200.0,5.0,Asia
54,,246,2,0,"['Legal Translation', 'English to Burmese Translation']",1200.0,5.0,Oceania
57,,1095,1,3,"['Written Languages', 'English', 'Technical Writing Deliverables', 'Blog Content', 'Article', 'Other', 'Search Engine Optimization', 'Content Writing', 'SEO Writing', 'Copywriting', 'Search Engine Optimization Report']",20.0,5.0,North America
58,,164,2,0,"['andriod', 'andriod app developer', 'Android App Development', 'Android', 'Mobile App Development', 'Smartphone', 'Android App']",20.0,5.0,Asia
59,,192,2,0,"['Webflow', 'CSS', 'HTML', 'JavaScript', 'HTML5', 'Animation', 'Web Development']",100.0,5.0,Europe
60,$50.00,1730,0,1,"['Adobe XD', 'Responsive Design', 'User Interface Design', 'Business with 100-999 Employees', 'Business with 10-99 Employees']",841.68,3.0,Europe
61,$13.00,1440,2,3,"['Search Engine Marketing Services', 'Marketing Analytics', 'A', 'B Testing', 'Other', 'Google Ads', 'Pay Per Click Advertising', 'Google Analytics', 'Internet Marketing', 'SEO Audit', 'Copywriting', 'Mobile Advertising', 'Desktop Ad', 'Text Ad', 'B2B Marketing', 'Business with 1-9 Employees', 'Business with 100-999 Employees', 'Business with 10-99 Employees', 'Startup Company', 'Business with 1000+ Employees', 'Fortune 500 Company', 'PPC Campaign Setup & Management']",28.17,4.0,Asia
62,$8.00,541,2,0,['Python'],78.67,5.0,Asia
63,,587,0,0,"['YouTube Marketing', 'Social Media Marketing', 'HubSpot', 'CRM Software', 'Review or Feedback Collection', 'Social Media Management', 'YouTube Development', 'Email Marketing', 'Social Media Advertising', 'YouTube']",812.51,5.0,North America
65,$25.00,1368,0,3,"['Audio Editing', 'Audio Mastering', 'Podcast Production', 'Dialogue Editing', 'Sound Mixing']",4854.16,5.0,Europe
67,,942,0,0,"['Statement of Purpose', 'Microsoft PowerPoint', 'Book Editing', 'Cover Letter', 'Academic Editing', 'Research Proposals', 'Civil Engineering', 'Technical Writing', 'Academic Proofreading', 'Dissertation Writing', 'Editing & Proofreading', 'Statistical Analysis', 'Data Analysis', 'Content Writing', 'Building Information Modeling']",95.0,5.0,North America
69,,150,0,3,"['Content Writing Services', 'Content Writing', 'Content Writing Deliverables', 'Blog Content', 'Other', 'Ecommerce', 'Software', 'Business Writing', 'Tech & IT']",812.51,3.0,North America
70,,1127,1,1,"['Web Design Deliverables', 'Email Design', 'Other', 'Graphic Design', 'Layout Design', 'Illustration', 'Print Design', 'Photo Editing', 'Infographic']",812.51,2.65,North America
71,,1120,2,0,"['Copywriting Deliverables', 'Ad Copy', 'Product Page', 'Social Media Content', 'Other', 'Copywriting', 'Product Description', 'Creative Writing']",600.0,4.8,North America
73,,1436,0,1,"['Contract Drafting', 'Contract Law', 'Legal Writing', 'Corporate Law', 'Partnership Agreement']",300.0,5.0,Asia
74,,1827,2,0,['Wireframing'],500.0,3.0,Africa
75,,246,2,0,"['Translation', 'English to Burmese Translation', 'Burmese']",540.0,3.0,Asia
76,,1195,2,0,"['Lead Generation Services', 'Lead Generation Strategy', 'Lead Generation Content Creation', 'Other', 'Data Entry', 'Market Research', 'Data Mining', 'Lead Generation', 'Data Scraping', 'Researcher', 'List Building', 'Prospect List']",600.0,3.0,Asia
77,,1885,2,0,"['Startup Consulting', 'Corporate Law', 'Intellectual Property Law', 'Legal Assistance', 'Writing', 'Contract Law', 'Licensing', 'Copyright', 'Consultant', 'Researcher', 'Legal', 'Business Services']",812.51,5.0,North America
78,,1294,0,0,"['Security Operation Center', 'Information Security Consultation', 'Network Security', 'Information Security', 'Penetration Testing', 'Black Box Testing', 'Ethical Hacking', 'Security Testing', 'Website Security', 'Network Penetration Testing', 'Vulnerability Assessment', 'System Security', 'Internet Security', 'Security Assessment & Testing', 'Cybersecurity Management']",60.0,3.0,North America
79,,1456,2,0,"['Google Ads', 'Pay Per Click Advertising', 'PPC Campaign Setup & Management']",100.0,5.0,Asia
80,$50.00,1740,0,1,"['Grant Writing Services', 'Grant Research & Prospect List', 'Grant Funding Areas', 'Education', 'Other', 'Grant Writing', 'Grant Application', 'English', 'Researcher', 'Writing', 'Content Writing', 'Budget Proposal', 'Business Plan']",283.33,5.0,North America
82,,1512,0,1,"['Trademark', 'Intellectual Property Law']",225.0,5.0,North America
83,$50.00,1794,0,0,"['Essay Writing', 'Letter of Intent', 'Academic Writing', 'Editor', 'Proofreading', 'Commenting', 'English']",225.0,5.0,North America
85,$30.00,352,0,2,"['Paralegal Skills', 'Legal Research', 'Other', 'Administrative Support', 'Legal Consulting', 'Legal Writing', 'Paralegal']",2100.0,5.0,North America
86,,1345,0,0,"['Logo Design', 'Adobe Photoshop', 'Graphic Design', 'Adobe Illustrator', 'Adobe InDesign', 'Corporate Branding', 'Print Marketing Materials', 'Digital Marketing Materials', 'Digital Art']",812.51,3.0,North America
88,,1294,0,0,"['Kali Linux', 'Python', 'Ethical Hacking', 'Digital Forensics', 'Penetration Testing', 'Virus Removal', 'Website Security', 'Vulnerability Assessment', 'Information Security Audit', 'Malware Removal', 'Cybersecurity Management', 'Security Testing', 'Security Analysis', 'AT&T Cybersecurity', 'Recover Data Recovery Software']",160.0,5.0,Europe
89,,485,2,0,"['Scripting & Automation Deliverables', 'Automation', 'Other', 'NinjaTrader', 'C#', 'Python']",812.51,3.0,North America
90,$35.00,1771,0,0,"['HR Administration Skills', 'Communications', 'Interpersonal Skills', 'HR Administration Deliverables', 'Candidate Evaluation', 'Other', 'Human Resource Management', 'Employee Communications', 'HR & Business Services', 'Recruiting']",116.67,5.0,North America
92,$40.00,1644,0,0,"['Google Ads', 'PPC Campaign Setup & Management']",760.0,3.0,Asia
93,,1219,0,0,"['Python', 'Machine Learning']",20.0,5.0,North America
95,$30.00,72,0,0,"['Creative Writing', 'Narrative', 'Storytelling']",1010.0,5.0,North America
96,$45.00,433,0,0,"['3D Animation', '3D Design']",2827.5,4.7,Europe
97,,374,0,1,"['STEM Tutoring Services', 'Engineering Tutoring', 'Mathematics Tutoring', 'Tutoring', 'Teaching Level', 'High School', 'College & University']",795.0,5.0,North America
98,,641,0,0,"['Cryptocurrency', 'Initial Coin Offering', 'JavaScript']",2300.0,5.0,Europe
99,,1815,0,0,['Translation'],90.0,3.0,Europe
100,,327,2,0,"['Intellectual Property Law Skills', 'Trademark', 'Other', 'Trademark Consulting', 'Intellectual Property Law', 'Legal Consulting', 'Trademark Search', 'Trademark Prosecution', 'Legal Writing', 'Legal', 'Consumer Goods']",812.51,5.0,North America
102,,1272,0,0,"['Bookkeeping', 'Tax Preparation', 'Intuit QuickBooks', 'Xero', 'Sage 50cloud', 'Microsoft Excel', 'Management Accounting', 'Data Entry', 'Bank Reconciliation', 'Wave Accounting', 'Cost Analysis']",812.51,5.0,Europe
103,$50.00,22,0,1,"['UX', 'UI Design Type', 'Adaptive Web Design', 'Software Design', 'GUI Design', 'Responsive Design', 'UX', 'UI Design Deliverables', 'Mockup', 'Parallax Scrolling', 'User Experience', 'Other', 'Prototyping', 'User Interface Design', 'Web Design']",7925.0,5.0,North America
104,$60.00,906,2,0,"['Photography Genres', 'Fashion & Beauty', 'Portrait Photography', 'Other', 'Photo Manipulation', 'Photo Retouching', 'Photo Editing', 'Adobe Photoshop', 'Photo Color Correction', 'Image Editing', 'Adobe Illustrator', 'Adobe Lightroom', 'Image Processing', 'Editor', 'Blender', 'retoucher', 'Adobe Lightroom']",120.0,5.0,North America
105,$10.00,1505,0,0,"['Visual Basic for Applications', 'Macro Programming', 'Microsoft Excel', 'Automation', 'VBA macro']",110.0,5.0,North America
106,,1816,2,0,"['Legal', 'Legal Writing', 'Legal Research', 'Researcher', 'Contract Law', 'nevada law', 'small claims']",350.0,5.0,North America
107,$20.00,1188,0,0,"['Database Development Deliverables', 'Database Architecture', 'Database Design', 'Database Administration', 'Other', 'Airtable', 'Database']",160.0,5.0,North America
108,,1044,0,3,"['Securities & Finance Law Skills', 'SEC Regulation', 'Other', 'Legal Consulting', 'Entrepreneurship', 'Legal']",812.51,3.0,North America
109,$15.00,1065,0,0,"['Market Research', 'Online Research', 'Topic Research', 'Product Research', 'Company Research', 'Dropshipping', 'Search Engine Optimization', 'Shopify SEO', 'Virtual Assistant', 'Shopify', 'Dropshipping Product Researcher']",500.0,5.0,Europe
112,$28.00,1644,0,0,"['Google Ads', 'Arabic', 'SEO Keyword Research']",840.0,5.0,Europe
113,,1768,0,0,"['Academic Writing', 'Essay Writing', 'Creative Writing', 'Technical Writing', 'Research Papers', 'Research Proposals', 'Article Writing', 'Presentations', 'Report Writing', 'Business Writing']",100.0,5.0,Asia
114,$57.00,811,2,1,"['Search Engine Marketing Tools', 'Google Ads', 'Google Analytics', 'Other', 'Pay Per Click Advertising', 'PPC Marketing']",1320.5,3.0,Europe
116,$8.89,840,1,3,"['Customer Support', 'Customer Service', 'Phone Support', 'Online Chat Support', 'Customer Satisfaction', 'Communication Etiquette']",15677.22,5.0,North America
117,,564,2,0,"['Game Engines', 'Unreal Engine', 'Other', 'Game Development', 'Game Design']",350.0,5.0,Oceania
118,,1816,2,0,"['Corporate Law', 'Legal Consulting', 'Legal', 'Legal Writing']",20.0,3.0,Asia
121,,144,2,0,"['Dropshipping', 'Shopify', 'Virtual Assistant', 'Microsoft Excel', 'Purchase Orders', 'Order Processing', 'Alibaba Sourcing', 'Sourcing', 'Data Entry', 'Purchasing Management', 'Web Development', 'Product Listings', 'Logistics Management', 'Amazon Webstore', 'Amazon', 'Amazon FBA', 'SEO Keyword Research', 'Online Sales Management', 'Search Engine Optimization', 'Ecommerce']",812.51,5.0,Europe
122,,1827,2,0,"['Computer Vision', 'TensorFlow', 'OpenCV', 'Neural Network', 'Deep Learning', 'Machine Learning', 'Python']",80.0,5.0,Asia
125,$20.00,1518,0,0,"['Regression Testing', 'Automated Testing', 'QA Engineering', 'Manual Testing', 'QA Management', 'Cypress', 'JavaScript', 'API Testing', 'Test Report', 'Agile Project Management', 'Scrum', 'Postman', 'BrowserStack']",16756.67,5.0,North America
129,$30.00,1094,0,2,"['STEM Tutoring Services', 'Science Tutoring', 'Tutoring', 'Teaching Level', 'High School', 'College & University']",60.0,5.0,North America
130,$52.00,1733,0,0,"['3D Printing', '3D Design', '3D Modeling', '3D Rendering', 'Concept Design', 'Engineering Design']",416.0,5.0,North America
131,,47,2,0,['PSD'],20.0,5.0,Asia
132,,1814,0,0,"['Resume & Cover Letter Writing Services', 'Resume Writing', 'Resume Development', 'Cover Letter Writing', 'Editing & Proofreading']",150.0,5.0,North America
133,,1814,2,0,"['Nonprofit Organization', 'Resume Writing', 'Resume', 'Cover Letter Writing', 'English']",100.0,4.8,Europe
134,,587,2,0,"['Lead Generation Services', 'Data Cleansing', 'Lead Generation Analysis', 'Industry', 'Legal', 'Other', 'HubSpot', 'Lead Generation']",812.51,5.0,North America
135,,214,2,0,"['Guitar Performance', 'Music Arrangement', 'Music Production', 'Guitar Composition']",30.0,5.0,South America
136,,1541,2,0,"['Data Entry', 'Jotform', 'Survey Design', 'Internet Survey', 'Online Market Research', 'Online Research']",812.51,5.0,Europe
137,,1393,2,0,"['Gender', 'Female', 'Accents', 'US English Dialect', 'British English Accent', 'Australian English Dialect', 'Other', 'Voice-Over', 'Narration', 'Audio Editing', 'Audio Production', 'Video Editing', 'Voice Acting']",300.0,3.0,North America
139,$90.00,1740,2,0,"['General Research Skills', 'Topic Research', 'General Research Deliverables', 'Report', 'Company Research', 'Other', 'Researcher', 'Scientific Literature Review', 'Writing', 'English', 'Market Research']",3825.0,5.0,North America
140,,132,2,0,"['Architectural Project Types', 'Commercial Design', 'Architectural Services', 'Architectural Design', 'Technical Drawing Services', '2D Design', '3D Modeling']",50.0,4.83,Asia
141,,1804,2,0,"['Consultant', 'fda', 'Retail & Consumer Goods', 'Pharmaceutical Industry']",225.0,5.0,Oceania
142,,1888,2,0,"['Business Size', 'Business with 1-9 Employees', 'Other', 'Cryptocurrency', 'Blockchain', 'API', 'Python', 'API Integration', 'Web Development']",1100.0,5.0,Asia
143,$195.00,1258,0,0,"['American Bar Association State Licensing', 'New Hampshire Bar Association', 'Other', 'International Taxation', 'Tax Law']",130.0,3.0,North America
144,,1485,2,0,"['Logo Deliverables', 'Logo Transparency', 'Printable File', 'Source File', 'Vector File Format', 'Social Media Kit', 'Other', 'Logo Design', 'Web Design', 'Graphic Design', 'Brand Identity & Guidelines']",300.0,5.0,North America
145,$70.00,1679,0,0,"['Live Interpretation', 'English to Japanese Translation', 'English', 'Japanese']",70.0,5.0,Asia
146,$40.00,617,0,0,"['Writing', 'rfp']",540.0,5.0,North America
148,,1456,2,0,"['SEO Services', 'Off-Page SEO', 'Other', 'SEO Backlinking']",20.0,5.0,Asia
149,$300.00,136,0,0,"['State Bar of California', 'Legal Consulting', 'Contract Law', 'Legal', 'Corporate Law', 'Partnership Agreement', 'Legal Writing']",250.0,3.0,North America
150,,1345,2,0,"['Logo Design', 'Adobe Photoshop', 'Graphic Design', 'Adobe Illustrator', 'Adobe InDesign', 'Corporate Branding', 'Print Marketing Materials', 'Digital Marketing Materials', 'Digital Art']",812.51,3.0,North America
151,$45.00,1794,2,1,"['Grant Writing Services', 'Grant Research & Prospect List', 'Grant Writing', 'Grant Writing Deliverables', 'Grant Application', 'Other', 'Researcher']",232.5,3.0,North America
154,,359,0,2,"['Ghostwriting', 'Ebook', 'Ebook Writing', 'Book Writing', 'Creative Writing', 'Business Writing', 'Lifestyle']",812.51,3.0,North America
155,,340,2,0,"['Company Research', 'Data Entry']",300.0,4.8,Europe
157,,146,2,0,"['OCR Software', 'OCR Algorithm', 'Python', 'Text Recognition', 'Machine Learning']",175.0,5.0,North America
158,,1342,2,0,['System Administration'],80.0,5.0,Europe
159,,632,0,0,"['Copywriting Services', 'Editing & Proofreading', 'Copywriting Deliverables', 'Landing Page', 'Product Description', 'Other', 'Copywriting', 'Website Content', 'English']",100.0,3.0,Europe
160,,1368,2,0,"['GarageBand', 'Audio Editing']",220.0,3.0,North America
161,,800,0,0,"['Zoho CRM', 'Zoho Creator', 'Zoho Platform', 'Zoho Analytics', 'Zoho Books', 'Customer Relationship Management', 'Email Marketing', 'Zoho Sprints', 'Zoho PageSense', 'Campaign Setup', 'Marketing Automation']",62.0,5.0,North America
162,,460,2,0,"['Academic Writing', 'English']",115.0,5.0,North America
163,,501,2,2,"['Devices', 'Smartphone', 'Mobile Platforms', 'iOS', 'Mobile Programming Languages', 'Swift', 'JavaScript', 'App Features', 'In-App Purchases']",788.2,3.0,North America
165,,1733,2,0,"['PCB Design', 'Electronics']",300.0,5.0,North America
166,,881,2,0,"['Email Marketing', 'Campaign Monitor', 'Lead Generation', 'Content Writing', 'Email Campaign Setup', 'Email Communication', 'Marketing Strategy', 'Copywriting', 'Email Marketing Strategy', 'Mailchimp']",812.51,5.0,North America
167,,1286,0,1,"['Corporate Law', 'Legal Research', 'International Taxation', 'Tax Law Compliance', 'Employment Consideration', 'Legal Consulting', 'Value-Added Tax', 'Tax Law', 'Tax Strategy', 'Corporate Tax', 'Startup Consulting', 'Media & Entertainment', 'Business Services']",90.0,5.0,Europe
168,,309,0,1,['Social Media Marketing'],812.51,3.0,North America
170,,1743,2,0,"['Copywriting Services', 'Copywriting', 'Other', 'Email Copywriting', 'Lead Generation']",110.0,5.0,Asia
171,$7.00,1174,0,2,"['Telemarketing Services', 'Appointment Scheduling', 'Cold Calling', 'Email Communication', 'Other', 'Lead Generation', 'Virtual Assistant', 'Phone Communication', 'Telemarketing', 'Outbound Sales', 'Customer Service', 'B2B Marketing', 'Sales']",113.17,5.0,North America
172,$5.50,1184,1,3,"['Ticketing System Software', 'Zendesk', 'Other', 'Customer Satisfaction', 'Multitasking', 'Order Tracking', 'Communication Etiquette', 'Following Procedures', 'Interpersonal Skills', 'Answered Ticket', 'Time Management', 'Customer Service', 'Customer Support', 'Live Chat Operator', 'Email Communication', 'Researcher', 'Online Chat Support', 'Customer Experience Research', 'Customer Feedback Documentation', 'Customer Insight Analysis', 'Customer Service Training', 'KPI Metric Development', 'Inbound Inquiry', 'Email Support', 'Social Media Management', 'English', 'Product Knowledge']",1804.92,4.7,North America
175,,1286,2,0,"['Tax Law', 'Corporate Tax', 'Tax Return']",80.0,3.0,Europe
176,$35.00,1011,2,2,"['Internet Marketing', 'Social Media Marketing', 'Content Writing', 'Search Engine Optimization']",361.67,5.0,Europe
177,,327,0,1,"['Trademark', 'Trademark Search']",812.51,5.0,North America
178,,327,2,0,['Trademark'],812.51,5.0,North America
179,$26.00,35,0,0,"['Graphic Design Deliverables', 'Banner Ad Design', 'Graphic Design Software', 'Adobe InDesign', 'Other', 'HTML5', 'Google Web Designer', 'Digital Ad Campaign', 'Corporate Style']",489.67,5.0,Oceania
180,$20.00,1188,2,1,"['Business Size', 'Business with 10-99 Employees', 'Other', 'Airtable', 'Automated Workflow', 'Business Process Automation', 'Business Process Management Software']",2543.35,5.0,North America
181,$100.00,352,2,0,"['Paralegal Skills', 'Legal Research', 'Other', 'Paralegal', 'Criminal Law', 'Civil Law', 'Legal Assistance', 'Legal Writing']",812.51,5.0,North America
182,,636,2,0,"['Google Slides', 'Business Presentation', 'Marketing Presentation', 'Branding Template', 'Data Visualization', 'Presentation Design', 'Presentations', 'Graphic Design', 'Infographic', 'Adobe InDesign', 'Adobe Illustrator', 'Adobe Photoshop', 'Microsoft PowerPoint', 'Pitch Deck', 'Financial Presentation', 'Brochure']",250.0,5.0,North America
183,$125.00,23,0,3,"['Immigration Law Skills', 'Work Visa']",125.0,3.0,North America
184,,1740,0,0,"['Business & Proposal Writing Deliverables', 'Investor Overview', 'Business Plan', 'Other', 'Executive Summary', 'Business Writing', 'Business Services', 'Education']",250.0,5.0,North America
185,$75.00,936,0,1,"['Financial Analysis & Modeling Skills', 'Forecasting', 'Financial Analysis & Modeling Deliverables', 'Financial Projection', 'Business Plan', 'Other', 'Business Analysis', 'Financial Analysis', 'Microsoft Excel', 'Business Cases', 'Market Research', 'Researcher', 'Statistics', 'Data Analysis', 'Financial Modeling']",1787.5,3.0,North America
186,,877,1,1,"['Medical Translation Deliverables', 'Medical Device User Manual', 'Other', 'French to English Translation', 'English to French Translation', 'Technical Translation']",320.0,3.0,North America
188,,57,0,0,"['Video Intro & Outro', 'Video Editing', 'Video Production', 'Adobe After Effects', 'Adobe Premiere Pro', 'Video Post-Editing']",300.0,5.0,Europe
189,$15.00,1095,0,0,"['Landing Page', 'Copywriting', 'Content Writing', 'Search Engine Optimization', 'SEO Writing', 'English', 'Website Content', 'Blog Content']",170.0,4.8,North America
190,,1816,0,0,"['Legal Writing', 'Legal Research', 'Draft Documentation', 'Paralegal', 'Legal', 'Legal Assistance']",320.0,5.0,North America
192,,612,2,0,"['Podcast', 'Audio Editing', 'Audio Post Production']",9.0,5.0,North America
193,$20.00,1095,0,1,"['Technical Writing Topics', 'Software', 'Other', 'Technical Writing', 'Writing']",46.67,4.0,North America
194,,427,2,0,['Microsoft Excel'],812.51,3.0,Oceania
195,,213,2,0,['Amazon'],41.0,5.0,North America
196,,1847,0,0,"['CV', 'Creative Writing', 'Human Resource Management', 'Data Entry', 'Resume', 'Cover Letter Writing', 'Editing & Proofreading', 'Resume Design', 'Resume Writing', 'Resume Development', 'Job Description Writing', 'LinkedIn Development']",812.51,5.0,North America
197,,927,0,1,"['Amazon Web Services', 'Amazon Redshift', 'BigQuery']",812.51,5.0,North America
198,,175,2,0,"['Business Plan', 'Business Writing', 'Researcher', 'Marketing Strategy', 'Market Research', 'Business Analysis', 'Market Analysis', 'Business Proposal Writing', 'Executive Summary']",812.51,3.0,North America
199,$100.00,1104,0,0,"['Video Editing', 'Video Production', 'Video Post-Editing', 'Videography', 'Audio Editing', 'Audio Post Production', 'Lighting']",2300.0,5.0,North America
202,,1219,0,0,"['Python', 'Machine Learning']",100.0,5.0,North America
203,,771,2,0,"['Illustration Deliverables', 'Vector Art', 'Other', 'Illustration', 'Adobe Illustrator', 'Adobe Photoshop']",10.0,5.0,North America
204,,1392,2,0,"['Business Plan', 'Business Writing', 'New Zealand English Dialect']",50.0,5.0,Oceania
206,$40.00,975,0,0,"['Content Writing', 'Finance & Accounting', 'Article', 'Financial Writing', 'Article Writing', 'Researcher', 'Fact-Checking']",313.34,3.0,Europe
207,,390,0,1,"['Data Entry Skills', 'Accuracy Verification', 'Time Management', 'Other', 'Researcher', 'Data Mining', 'Data Entry']",100.0,4.6,Oceania
208,,1023,2,0,['Character Design'],150.0,5.0,North America
210,$18.00,488,0,2,"['Accounting', 'Tax Preparation']",19911.0,4.85,North America
212,$32.00,460,0,0,"['Editor', 'Proofreading', 'English']",48.0,5.0,North America
214,,916,2,0,['LinkedIn Development'],100.0,5.0,North America
215,,1188,2,0,"['Database Development Deliverables', 'Database Design', 'Business Size', 'Business with 10-99 Employees', 'Business with 1-9 Employees']",200.0,4.3,North America
216,,85,2,0,"['Proofreading Deliverables', 'White Paper', 'Proofreading Services', 'Content Rewriting', 'Other', 'Writing', 'Proofreading', 'Copywriting', 'Copy Editing', 'Content Writing', 'Editor']",125.0,3.9,North America
